City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
71,Tiksi,RU,11/28/21 1:00,71.6872,128.8694,-7.64,96,100,6.82
72,Fortuna,US,11/28/21 0:56,40.5982,-124.1573,58.12,100,1,0
73,Luderitz,NA,11/28/21 1:00,-26.6481,15.1594,59.27,86,6,3.83
74,Broome,US,11/28/21 0:57,42.2506,-75.833,29.17,81,95,2.95
75,Vitim,RU,11/28/21 1:00,59.4511,112.5578,7.61,93,100,8.66
76,Lovozero,RU,11/28/21 1:00,68.005,35.0117,0.97,95,100,3
77,Coahuayana,MX,11/28/21 1:00,18.7333,-103.6833,75.22,83,1,1.43
78,Serro,BR,11/28/21 1:00,-18.6047,-43.3794,61.43,98,14,3.2
79,Mayor Pablo Lagerenza,PY,11/28/21 1:00,-19.9309,-60.7718,84.47,55,5,11.54
80,Bathsheba,BB,11/28/21 0:58,13.2167,-59.5167,74.01,83,40,12.66
81,Longyearbyen,SJ,11/28/21 1:00,78.2186,15.6401,12.04,67,40,23.02
82,Kahului,US,11/28/21 1:00,20.8947,-156.47,75.06,70,43,4.56
83,Dikson,RU,11/28/21 1:00,73.5069,80.5464,-12.93,97,100,9.01
84,Llandrindod Wells,GB,11/28/21 1:00,52.2416,-3.3787,30.4,77,31,10.38
85,Flinders,AU,11/28/21 1:00,-34.5833,150.8552,61.3,79,96,11.81
86,Castro,BR,11/28/21 1:00,-24.7911,-50.0119,63.73,75,1,0.78
87,Lorengau,PG,11/28/21 1:00,-2.0226,147.2712,85.33,66,100,4.03
88,Finnsnes,NO,11/28/21 1:00,69.2296,17.9811,19.36,93,60,5.37
89,Mutoko,ZW,11/28/21 1:00,-17.397,32.2268,56.62,87,9,2.73
90,Hobart,AU,11/28/21 0:57,-42.8794,147.3294,66.06,45,20,9.22
91,Kaitangata,NZ,11/28/21 0:56,-46.2817,169.8464,61.39,54,0,7.4
92,Burdur,TR,11/28/21 1:01,37.7203,30.2908,56.1,62,75,12.66
93,Shepsi,RU,11/28/21 1:01,44.0361,39.1489,58.86,75,100,14.2
94,Gamboma,CG,11/28/21 1:01,-1.8764,15.8644,70.75,94,93,3.33
95,Eureka,US,11/28/21 0:57,40.8021,-124.1637,58.39,95,65,4.18
96,Dalbandin,PK,11/28/21 1:01,28.8947,64.4101,52.52,38,0,7.02
97,Hirara,JP,11/28/21 1:01,24.8,125.2833,73.58,65,100,32.35
98,Pacific Grove,US,11/28/21 1:01,36.6177,-121.9166,66.6,65,0,4.34
99,Bourges,FR,11/28/21 1:01,47.25,2.4167,39.52,98,100,15.5
100,Nerchinskiy Zavod,RU,11/28/21 1:01,51.3088,119.61,14.36,93,100,3.83
101,Punta Arenas,CL,11/28/21 0:58,-53.15,-70.9167,53.71,54,75,6.91
102,Honningsvag,NO,11/28/21 1:01,70.9821,25.9704,24.55,72,27,24.05
103,Marawi,PH,11/28/21 1:01,7.9986,124.2928,77.41,73,100,0.83
104,Upernavik,GL,11/28/21 1:01,72.7868,-56.1549,2.17,96,48,8.55
105,Airai,TL,11/28/21 1:01,-8.9266,125.4092,73.33,61,100,0.96
106,Saskylakh,RU,11/28/21 1:01,71.9167,114.0833,-3.87,93,98,10.27
107,Concepcion Del Oro,MX,11/28/21 1:01,24.6333,-101.4167,58.15,51,100,1.14
108,Nanortalik,GL,11/28/21 1:00,60.1432,-45.2371,42.93,97,100,16.35
109,Basoko,CD,11/28/21 1:01,1.2391,23.616,71.22,89,95,2.06
110,Abonnema,NG,11/28/21 1:01,4.7084,6.7931,77.22,89,73,5.08
111,Marechal Candido Rondon,BR,11/28/21 1:01,-24.5561,-54.0567,69.04,70,0,3.36
112,Grass Valley,US,11/28/21 1:01,39.2191,-121.0611,57.58,67,1,0
113,Thompson,CA,11/28/21 1:01,55.7435,-97.8558,16.14,82,34,12.1
114,Sovetskiy,RU,11/28/21 1:01,61.3614,63.5842,20.16,97,81,3.94
115,Georgetown,MY,11/28/21 0:59,5.4112,100.3354,80.53,89,20,0
116,Cardston,CA,11/28/21 1:01,49.2,-113.3019,39.43,73,100,8.14
